created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 04:24:04 +0000 2024;1748924395899560308;"@narkosun Dulu katanya gag perlu pasang baliho menang, skrg baliho d mana mana foto keluarga😂";0;0;0;0;in;886249668;1748842641930985580;HanafiRonny;https://twitter.com/HanafiRonny/status/1748924395899560308
Sun Jan 21 04:22:36 +0000 2024;1748924027039875390;"Bahkan baliho dengan stempel "Tersangka Penusukan Pohon" pun masih terlihat terpasang. https://t.co/7DwE32ge6m";0;0;1;5;in;23343960;1748924027039875390;kompascom;https://twitter.com/kompascom/status/1748924027039875390
Sun Jan 21 04:21:45 +0000 2024;1748923815076446525;"@RajaJuliAntoni agaknya psi ini ga full dukung prabowo, seluruh baliho gambarnya cm dinasti Jokowi hehe, hati hati pak prabowo🤞";0;0;0;0;in;1235437501524791301;1748751498698530949;zihamburgerr;https://twitter.com/zihamburgerr/status/1748923815076446525
Sun Jan 21 04:16:27 +0000 2024;1748922479941398746;"@InD4hR4tnA @psi_id Lha iyo ngomong gur angger njeplak 😄  justru malah 03 akunnya organik &amp  malah banyak yg tumbang  Anggota sama baliho kok banyak balihonya 😂  🤟🤟🤟";0;1;1;5;in;1660910690583080962;1748918218432094552;ArdySoen6;https://twitter.com/ArdySoen6/status/1748922479941398746
Sun Jan 21 04:11:14 +0000 2024;1748921167304601634;"Ga usah ditonton ya.. Takutnya kamu sakit hati..  "Baliho lebih banyak dari Kadernya" https://t.co/RyzaBFSsFR";2;4;21;51;in;194582998;1748921167304601634;PakarINTELek;https://twitter.com/PakarINTELek/status/1748921167304601634
Sun Jan 21 04:08:52 +0000 2024;1748920571273019581;"Buat bapak/ibu yang fotonya terpanjang di baliho .. Jika anda terpilih tolong dengarkan aspirasi rakyat, jangan mentang² anda sudah ngasih sesuatu sebelum pencoblosan lalu anda acuh begitu saja .. Kami hanya orang bodoh yg tergiur dgn uang 100rb lalu kami anda pilih .";0;0;0;0;in;1700465559832543232;1748920571273019581;Ennbudiman;https://twitter.com/Ennbudiman/status/1748920571273019581
Sun Jan 21 04:08:38 +0000 2024;1748920515279114423;"kl calegnya begini mau baliho segede bagong dipasang di pintu rumahku jg aku ga bakalan protes https://t.co/RVKwR0PyTM";1;0;6;7;in;754545751;1748920515279114423;GEURlMJA;https://twitter.com/GEURlMJA/status/1748920515279114423
Sun Jan 21 04:07:05 +0000 2024;1748920125305258352;"@FSutalaksana @msaid_didu Iya betul. Santai saja. Karena Amin ada di hati, bukan di baliho.";0;0;0;1;in;1722784180847992832;1747550353133052396;ElfaFAzhari;https://twitter.com/ElfaFAzhari/status/1748920125305258352
Sun Jan 21 04:01:35 +0000 2024;1748918737728868500;"Foto bareng baliho ini fenomena apapagi sih ya, ini yg baru dari pertandingan folitik sebelon2nya";0;0;0;0;in;443520862;1748918737728868500;Jamie_Jassin;https://twitter.com/Jamie_Jassin/status/1748918737728868500
Sun Jan 21 04:00:30 +0000 2024;1748918465556332586;"Ini baliho yg cuma nyantumin no coblos doang, yakin bgt orang bakal pilih dia gt aja? Pffftttt....ffs 90% gini semua";0;0;0;0;in;49243150;1748918465556332586;veezy_boy;https://twitter.com/veezy_boy/status/1748918465556332586
Sun Jan 21 03:56:19 +0000 2024;1748917415982076301;"Td lari pagi  Ya biasa aja outfitnya celana pendek , legging, singlet serba hitam  Nah pas di pengkolan dia ngeliatin galiat kalau di depan dia ada baliho partai, pas ngeliatin gw belok lah dia dan nabrak baliho wkwkwkw   Gw ketawa doang si ga nolongin";0;0;0;0;in;1307171880793636865;1748917415982076301;bebaskanhatimu;https://twitter.com/bebaskanhatimu/status/1748917415982076301
Sun Jan 21 03:51:08 +0000 2024;1748916108051292587;"@xquitavee Di baliho, di vidiotron napa selalu pakai  animasi tidak menunjukan wajah aslinya ya ngga pd malu mungkin karen wajah aslinya sudah tua .";1;3;7;190;in;1605760365866160129;1748700013373399152;Putri96960977;https://twitter.com/Putri96960977/status/1748916108051292587
Sun Jan 21 03:49:09 +0000 2024;1748915610648793542;"lah ini malah make badannya si artis kpop buat baliho, walopun bukan muka nya si artis, tapi tetep aja itu salah zeyeeeeng.";0;0;0;0;in;274010440;1748915601987473840;hoonstar0817;https://twitter.com/hoonstar0817/status/1748915610648793542
Sun Jan 21 03:45:06 +0000 2024;1748914592338886800;"@tvOneNews Capres&amp cawapres gak punya duit anggaran minim bikin kaos dan baliho banyak dari relawan. Hanya kekuatan DOA yg bisa mengalah semua.";0;0;0;3;in;1292498689550761985;1748833808756179268;RushmadiD;https://twitter.com/RushmadiD/status/1748914592338886800
Sun Jan 21 03:45:05 +0000 2024;1748914589146943957;"Dalam perjalanan  tiba² anak saya lihat baliho Om Wowo :"ayah itu calon presiden kok dibuat jadi muda banget fotonya, beda sama yang asli di tv kemarin kan udah kakek², kenapa sih pake dirubah2 segala, ga pede ya yah??" 🫣😁";0;0;1;1;in;930221061773213696;1748914589146943957;seleb_berita;https://twitter.com/seleb_berita/status/1748914589146943957
Sun Jan 21 03:44:15 +0000 2024;1748914377691124088;"@MurtadhaOne1 Baliho, videotron semua di take down. Yang ini kira2 ditake down juga gak ya?";0;0;0;0;in;3028187310;1748904161394262191;Mikalesun;https://twitter.com/Mikalesun/status/1748914377691124088
Sun Jan 21 03:39:58 +0000 2024;1748913301306933295;"@silverprinx_ @choosetheother @ngurahsaka fak nih baliho segede gaban di jogja";0;0;0;0;in;341422740;1748125502060310628;pratamabudi96;https://twitter.com/pratamabudi96/status/1748913301306933295
Sun Jan 21 03:31:45 +0000 2024;1748911232906895756;"Everywhere i go, i see their face *insert baliho icon dinasti politik";0;0;0;0;en;2522914298;1748911232906895756;bojonyayunjin;https://twitter.com/bojonyayunjin/status/1748911232906895756
Sun Jan 21 03:31:28 +0000 2024;1748911159343038893;"@kalotwdiem @strike_bravo_b Banyak baliho Kaesang ya artinya emang pusatnya yang megang duit, caleg PSI di Kuningan aja ga sebanyak caleg Gelora &amp  Perindo ko";0;0;0;3;in;504460821;1748870008883773942;nurdiantologi;https://twitter.com/nurdiantologi/status/1748911159343038893
Sun Jan 21 03:29:03 +0000 2024;1748910551076626685;"Sebenarnya banner, baliho, dsb nya itu bukan buat promosi atau memperkenalkan diri, tapi pada buang sampah dengan cara ditempelin atau dipasang di jalanan, udah gitu polusi visualisasi";0;0;0;0;in;1335212928748810240;1748910551076626685;ddaeulie;https://twitter.com/ddaeulie/status/1748910551076626685
Sun Jan 21 03:26:51 +0000 2024;1748910000473583971;"@tanyakanrl Bajunya mendeskrispikan jati dirinya yang redflag, dikira cakep sekali kau poster baliho banteng";0;0;0;41;in;1411987047112351746;1748905783696470374;shhibal;https://twitter.com/shhibal/status/1748910000473583971
Sun Jan 21 03:22:37 +0000 2024;1748908932570161634;"@kurawa 02 tembus 1001% eh tapi sorry salah input cuma dongeng biar bohir happy,  Sudah presiden oknum mentri gubernur bupati asn n aparat jadi tim kampanye hasinya mentok 40%,  Rakyat tau 02 baliho doang gede prestasi n gagasan nihil 0 apalagi buzzetnya👉👈👎😱";0;0;0;0;in;1517909681855135744;1748677782094352815;ReinhadPar;https://twitter.com/ReinhadPar/status/1748908932570161634
Sun Jan 21 03:21:12 +0000 2024;1748908578155724815;"baliho partai di jembatan dua pada jatoh tuh urusin kek ngeri bgt nyampe ke tengah jalan";0;0;0;0;in;1205841461901529088;1748908578155724815;thepinksided;https://twitter.com/thepinksided/status/1748908578155724815
Sun Jan 21 03:18:19 +0000 2024;1748907852457181668;"@Mdy_Asmara1701 Asli sih, seluruh indonesia kayaknya jutaan deh baliho mereka..mana besar2 lagi..dananya dari mana??";0;0;0;3;in;952737721050517504;1748858296239611905;rasyid1_;https://twitter.com/rasyid1_/status/1748907852457181668
Sun Jan 21 03:17:56 +0000 2024;1748907753077424405;"@FSutalaksana @msaid_didu Jika nanti AMIN menang pilpres, ini akan jadi fenomena baru. Pasangan capres dg jumlah banner/baliho tersedikit bisa menjadi peraih suara terbanyak.";0;0;0;1;in;131506067;1747550353133052396;kapten_imel;https://twitter.com/kapten_imel/status/1748907753077424405
Sun Jan 21 03:17:55 +0000 2024;1748907751752053147;"@BSbukit @aniesbaswedan Baliho bisa dirusak, dibakar dan diambil. Tapi nama Anies tak bisa dihapus dari hati Rakyat yg ingin kehidupan lebih baik.";0;2;22;481;in;1466221870294863873;1748903122205106255;ZAMHARIBASYIR1;https://twitter.com/ZAMHARIBASYIR1/status/1748907751752053147
Sun Jan 21 03:17:41 +0000 2024;1748907693014978630;"Sumua di"sulapnya", keputusan mk aja bisa disulap, undang2 bisa disulap, ijazah bisa disulap, muka di spduk sm baliho bisa disulap, survey bisa disulap,  emang keluarga pesulap😂";0;0;0;0;in;119246533;1748907693014978630;80station;https://twitter.com/80station/status/1748907693014978630
Sun Jan 21 03:16:35 +0000 2024;1748907416945885401;"Pagi ini memandangi baliho caleg-caleg muda di jalanan Jakarta yang gede-gede dan buanyak banget.  Ini orang-orang punya pohon duit apa gimana? 😁😁😁";0;0;0;0;in;55533145;1748907416945885401;vinisteven;https://twitter.com/vinisteven/status/1748907416945885401
Sun Jan 21 03:15:20 +0000 2024;1748907100972212363;"@Fahrihamzah Kampanye sepi, hanya baliho yg dimana-mana partai pendukung juga tdk bergerak, tapi SurePay di atas 50 persen. Lalu kau paksa kami aklamasi. Apa boleh se-gila itu?";0;0;0;0;in;1115419680255045632;1748619931997053269;NasiGandul1;https://twitter.com/NasiGandul1/status/1748907100972212363
